self,children,shared obj,symbol
25.77,86.72,python,_PyEval_EvalFrameDefault
2.47,2.56,python,unicodekeys_lookup_unicode
2.29,2.43,libc-2.31.so,__nss_database_lookup
2.03,2.86,python,_PyObject_Malloc
1.87,2.29,python,_PyObject_Free
1.6,3.65,python,_PyFrame_ClearExceptCode
1.52,2.13,python,initialize_locals
1.39,4.27,python,gc_collect_main
1.16,3.27,python,_Py_dict_lookup
1.15,1.96,python,tupledealloc
1.0,1.46,python,_PyType_Lookup
0.8,0.84,python,visit_decref
0.76,0.98,libc-2.31.so,pthread_attr_setschedparam
0.69,0.69,python,advance
0.57,0.57,python,siphash13
0.55,3.12,python,PyObject_GenericGetAttr
0.52,1.07,python,sre_ucs1_match
0.51,0.51,python,_PyFunction_Vectorcall
0.48,2.7,python,_PyEvalFramePushAndInit
0.45,0.46,python,visit_reachable
0.42,5.39,python,PyObject_IsTrue
0.41,0.44,python,_PyPegen_is_memoized
0.4,30.43,python,PyObject_Vectorcall
0.39,0.42,python,tuple_alloc
0.39,0.39,python,PyObject_GC_UnTrack
0.37,1.05,python,dict_dealloc
0.37,0.43,python,set_lookkey
0.37,0.38,python,PyObject_GC_Del
0.35,0.85,python,PyType_GenericAlloc
0.35,0.35,python,_Py_Dealloc
0.35,0.35,python,PyType_IsSubtype
0.35,0.35,python,sre_ucs2_charset.isra.0
0.34,2.2,python,r_object
0.34,1.61,python,subtype_dealloc
0.34,1.34,python,PyDict_GetItemWithError
0.34,1.21,python,insertdict
0.34,0.34,python,_PyCode_Quicken
0.33,4.28,python,PyObject_GetAttr
0.33,1.08,python,free_keys_object
0.33,0.33,python,_PyTrash_begin
0.33,0.33,python,_PyTrash_end
0.29,0.86,python,update_one_slot
0.28,0.8,python,_PyObject_GC_New
0.27,0.89,python,_PyObject_GetMethod
0.27,0.68,python,list_dealloc
0.27,0.27,python,_Py_NewReference
0.26,33.3,python,_PyObject_MakeTpCall
0.26,1.13,python,find_name_in_mro
0.25,0.25,python,sre_ucs1_count
0.24,0.24,python,PyObject_Hash
0.23,0.61,python,PyObject_RichCompare
0.23,0.35,python,_PyTuple_FromArray
0.23,0.32,python,unicode_dealloc
0.23,0.23,python,PyLong_AsSsize_t
0.22,0.5,python,vgetargskeywords
0.22,0.3,python,_PyCfg_OptimizeCodeUnit
0.22,0.22,python,PyUnicode_New.part.0
0.21,20.88,python,type_call
0.21,0.45,python,_PyPegen_expect_token
0.21,0.35,python,vgetargs1_impl
0.21,0.27,python,insert_to_emptydict
0.2,7.66,python,PyObject_CallOneArg
0.2,0.84,python,PyCode_Addr2Line
0.2,0.27,python,convertitem
0.2,0.2,libz.so.1.2.11,inflateBackEnd
0.19,16.57,python,slot_tp_init
0.19,0.96,python,_PyDict_GetItem_KnownHash
0.19,0.53,python,_Py_type_getattro
0.19,0.44,python,unicode_decode_utf8
0.19,0.27,[kernel.kallsyms],copy_user_enhanced_fast_string
0.19,0.19,libc-2.31.so,free
0.18,58.69,python,method_vectorcall
0.18,0.33,python,_PyTuple_FromArraySteal
0.18,0.28,python,_PyObject_Realloc
0.18,0.18,libc-2.31.so,malloc
0.18,0.18,python,intern_string_constants
0.18,0.18,[kernel.kallsyms],native_irq_return_iret
0.17,0.7,python,_PyObject_GenericGetAttrWithDict
0.17,0.35,python,PyList_New
0.17,0.27,python,method_dealloc
0.17,0.27,python,tok_get
0.17,0.17,python,find_empty_slot
0.16,82.4,python,PyObject_Call
0.16,0.46,python,PyFunction_NewWithQualName
0.16,0.34,python,_PyObject_LookupSpecial
0.16,0.17,python,PyObject_IS_GC
0.16,0.17,python,_PyPegen_update_memo
0.16,0.16,[kernel.kallsyms],__d_lookup_rcu
0.15,2.18,python,PyObject_SetAttr
0.15,0.46,python,_PyDict_FromItems
0.15,0.33,python,frame_dealloc
0.15,0.18,[kernel.kallsyms],kmem_cache_free
0.15,0.17,python,PyUnicode_RichCompare
0.15,0.17,python,_PyThreadState_PopFrame
0.15,0.16,[kernel.kallsyms],_raw_spin_lock
0.15,0.15,python,PyObject_Free
0.14,18.01,python,_PyObject_Call_Prepend
0.14,1.88,python,PyObject_GenericSetAttr
0.14,0.83,python,_PyObject_FreeInstanceAttributes
0.14,0.32,python,tupletraverse
0.14,0.24,python,set_dealloc
