self,children,object,symbol
36.58,77.13,python,_PyEval_EvalFrameDefault
3.73,5.01,python,_PyObject_Malloc
3.28,3.31,python,unicodekeys_lookup_unicode
2.76,3.09,python,_PyObject_Free
2.06,3.33,python,_PyFrame_ClearExceptCode
2.0,2.1,libc-2.31.so,__nss_database_lookup
1.87,4.54,python,_Py_dict_lookup
1.83,1.83,python,sre_ucs2_charset.isra.0
1.73,7.71,python,_PyEval_EvalFrameDefault
1.67,1.67,python,_PyUnicode_JoinArray.part.0
1.56,4.57,python,gc_collect_main
1.25,3.63,python,long_to_decimal_string_internal
1.02,3.98,python,PyUnicode_Format
0.96,3.85,python,_sre_SRE_Pattern_search
0.9,2.6,python,insertdict
0.85,1.1,python,list_append
0.8,0.84,python,visit_decref
0.77,0.77,python,_copy_characters.part.0.constprop.0
0.72,1.9,python,dict_get
0.68,1.25,python,resize_compact
0.64,3.89,python,_PyEval_FrameClearAndPop
0.6,0.61,python,visit_reachable
0.55,16.2,python,PyObject_Vectorcall
0.55,0.9,python,tupledealloc
0.54,0.54,libc-2.31.so,malloc
0.52,3.19,python,r_object
0.51,1.92,python,sre_search
0.49,1.58,python,update_one_slot
0.49,0.72,python,_PyObject_Realloc
0.47,1.19,python,list_dealloc
0.47,0.71,python,_PyType_Lookup
0.45,0.45,python,_PyUnicodeWriter_WriteSubstring.part.0
0.44,2.13,python,method_vectorcall_FASTCALL
0.44,0.81,libc-2.31.so,pthread_attr_setschedparam
0.43,0.43,python,PyUnicode_New.part.0
0.42,0.5,python,PyErr_CheckSignals
0.41,1.4,python,find_name_in_mro
0.4,0.4,python,dict_ass_sub
0.37,0.37,python,PyType_IsSubtype
0.36,0.46,python,_PyCode_Quicken
0.31,0.81,python,_PyDict_DelItem_KnownHash
0.29,4.23,python,PyObject_Str
0.29,1.01,python,PyUnicode_New
0.28,0.28,python,_Py_NewReference
0.28,0.28,python,siphash13
0.26,0.26,python,unicode_dealloc
0.25,1.16,python,PyUnicode_Concat
0.25,0.26,python,_PyThreadState_PopFrame
0.23,0.9,python,_PyLong_New
0.23,0.23,python,PyObject_SetItem
0.22,0.48,python,code_dealloc
0.21,0.45,python,_Py_hashtable_get_entry_generic
0.21,0.29,python,initialize_locals
0.21,0.21,python,_PyUnicode_FromUCS1.part.0
0.2,0.55,python,dict_traverse
0.2,0.22,python,_PyLong_Add
0.2,0.2,python,_Py_Dealloc
0.2,0.2,python,dictiter_iternextvalue
0.19,0.98,python,_PyDict_GetItem_KnownHash
0.19,0.47,python,type_ready
0.19,0.2,python,delitem_common
0.19,0.19,python,memcpy@plt
0.19,0.19,python,PyObject_GC_UnTrack
0.18,0.82,python,_PyUnicodeWriter_PrepareInternal
0.18,0.18,python,PyObject_DelItem
0.17,0.2,python,tuple_alloc
0.17,0.17,python,build_indices_unicode
0.17,0.17,python,PyObject_Malloc
0.16,0.16,[kernel.kallsyms],native_irq_return_iret
0.16,0.16,python,PyObject_GC_Del
0.15,0.55,python,_PyObject_GC_New
0.15,0.16,python,intern_string_constants
0.15,0.15,python,find_empty_slot
0.14,0.79,python,free_keys_object
0.14,0.21,[kernel.kallsyms],copy_user_enhanced_fast_string
0.14,0.17,python,PyThread_get_thread_ident
0.14,0.15,python,PyObject_IS_GC
0.14,0.14,python,_PyTrash_end
0.13,0.39,python,PyDict_GetItemRef
0.13,0.31,python,PyType_GenericAlloc
0.13,0.25,ld-2.31.so,_dl_rtld_di_serinfo
0.13,0.13,python,PyErr_Occurred
0.12,3.58,python,long_to_decimal_string
0.12,0.86,python,PyObject_GenericGetAttr
0.12,0.53,python,subtype_dealloc
0.12,0.49,python,_PyEvalFramePushAndInit
0.12,0.33,python,_PyUnicodeWriter_WriteStr
0.12,0.12,python,_Py_GetBaseOpcode
0.11,67.6,python,_PyObject_MakeTpCall
0.11,3.96,python,PyNumber_Remainder
0.11,0.5,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.11,0.33,python,tupletraverse
0.11,0.22,python,_PyTuple_FromArray
0.11,0.13,python,_PyLong_Subtract
0.11,0.11,[kernel.kallsyms],sync_regs
0.11,0.11,python,_PyObject_GC_Link
0.11,0.11,[kernel.kallsyms],__d_lookup_rcu
0.1,3.83,python,cfunction_vectorcall_FASTCALL_KEYWORDS_METHOD
0.1,2.26,python,list_extend
0.1,0.53,python,dictresize
0.1,0.18,python,_PyTuple_FromArraySteal
0.1,0.17,[kernel.kallsyms],zap_pte_range.isra.0
0.1,0.1,python,_PyPegen_is_memoized
0.1,0.1,python,PyObject_Free
0.09,1.3,python,_PyUnicodeWriter_Finish
0.09,1.01,python,_PyUnicode_InternInPlace
0.09,0.83,python,_PyCode_New
0.09,0.49,python,_PyObject_GenericGetAttrWithDict
0.09,0.09,[kernel.kallsyms],clear_page_erms
0.09,0.09,python,_PyUnicode_ExactDealloc
0.09,0.09,python,_PyTrash_begin
0.08,0.4,python,func_traverse
0.08,0.31,python,dict_dealloc
0.08,0.17,python,PyCMethod_New
0.08,0.08,libc-2.31.so,free
0.08,0.08,python,memset@plt
0.08,0.08,python,_PyType_GetDict
0.07,3.76,python,slot_tp_init
0.07,1.27,python,PyObject_GetAttr
0.07,0.64,python,slot_mp_ass_subscript
0.07,0.62,python,func_dealloc
0.07,0.27,python,new_keys_object
0.07,0.21,python,PyTuple_New
0.07,0.18,python,PyFunction_NewWithQualName
0.07,0.18,python,subtype_traverse
0.07,0.1,python,vgetargs1_impl
0.07,0.08,[kernel.kallsyms],copy_pte_range.isra.0
0.07,0.07,libc-2.31.so,pthread_self
0.07,0.07,[kernel.kallsyms],smp_call_function_single
0.07,0.07,libmagic.so.1.0.0,0x000000000000f936
0.07,0.07,[kernel.kallsyms],_raw_spin_lock
0.06,64.7,python,_PyObject_Call_Prepend
0.06,0.72,[kernel.kallsyms],__handle_mm_fault
0.06,0.56,python,PyDict_SetDefault
0.06,0.2,python,meth_dealloc
0.06,0.14,python,PyList_Append
0.06,0.12,python,_PyTuple_MaybeUntrack
0.06,0.12,python,PyObject_VisitManagedDict
0.06,0.09,python,tok_get_normal_mode
0.06,0.08,python,set_traverse
0.06,0.07,python,PyDict_SetItem
0.06,0.06,python,_PyUnicode_FindMaxChar
0.06,0.06,[kernel.kallsyms],rmqueue
0.06,0.06,python,object_str
0.05,7.27,python,type_call
0.05,0.46,python,PyObject_GetIter
0.05,0.32,python,_PyEval_Vector
0.05,0.31,python,wrap_objobjargproc
0.05,0.17,python,_Py_type_getattro
0.05,0.16,python,allocate_from_new_pool
