self,children,shared obj,symbol
17.57,83.12,python,_PyEval_EvalFrameDefault
5.74,5.79,python,unicodekeys_lookup_unicode
4.91,12.09,python,gc_collect_main
2.47,3.4,python,_PyObject_Malloc
2.4,7.01,python,_Py_dict_lookup
2.05,2.11,python,visit_decref
1.95,2.07,libc-2.31.so,__nss_database_lookup
1.69,4.12,python,_PyType_Lookup
1.58,1.88,python,_PyObject_Free
1.56,1.57,python,visit_reachable
0.98,1.14,libc-2.31.so,pthread_attr_setschedparam
0.91,11.5,python,PyObject_GenericGetAttr
0.87,2.31,python,dict_traverse
0.8,2.92,libsqlite3.so.0.8.6,sqlite3_exec
0.78,1.7,python,tupledealloc
0.74,0.74,libz.so.1.2.11,inflateBackEnd
0.73,0.95,python,initialize_locals
0.72,4.42,python,find_name_in_mro
0.72,3.81,python,_PyDict_GetItem_KnownHash
0.66,0.66,python,advance
0.62,2.51,python,update_one_slot
0.62,0.69,python,_PyPegen_is_memoized
0.55,1.72,python,insertdict
0.52,1.27,python,_PyFrame_ClearExceptCode
0.49,1.73,python,free_keys_object
0.46,0.46,python,siphash13
0.45,1.57,python,PyDict_GetItemWithError
0.43,1.16,python,_PyFrame_ClearExceptCode
0.41,0.41,python,PyObject_GC_UnTrack
0.4,0.43,python,tuple_alloc
0.4,0.4,libpthread-2.31.so,__pthread_mutex_lock
0.37,1.4,python,dict_dealloc
0.37,0.95,python,list_dealloc
0.36,0.78,python,_PyPegen_expect_token
0.35,2.43,python,r_object
0.35,0.67,python,type_ready
0.34,12.86,python,PyObject_GetAttr
0.34,0.61,python,sre_ucs1_match
0.32,0.32,python,_PyCode_Quicken
0.32,0.32,libc-2.31.so,malloc
0.3,0.3,libpthread-2.31.so,pthread_mutex_unlock
0.3,0.3,python,_Py_Dealloc
0.29,0.3,[kernel.kallsyms],__d_lookup_rcu
0.29,0.29,python,_PyTrash_end
0.29,0.29,python,PyObject_GC_Del
0.28,1.2,python,_PyObject_GetMethod
0.28,0.32,python,PyObject_IS_GC
0.27,0.27,python,PyType_IsSubtype
0.26,1.38,python,_PyEvalFramePushAndInit
0.26,0.51,python,unicode_dealloc
0.26,0.26,python,_Py_NewReference
0.26,0.26,python,PyUnicode_New.part.0
0.24,3.31,python,PyObject_IsTrue
0.24,0.86,python,_PyObject_GC_New
0.24,0.66,python,PyType_GenericAlloc
0.24,0.45,python,tok_get
0.23,3.09,libsqlite3.so.0.8.6,sqlite3_reset
0.23,1.1,python,subtype_dealloc
0.23,0.56,python,code_dealloc
0.23,0.26,[kernel.kallsyms],copy_user_enhanced_fast_string
0.23,0.23,libsqlite3.so.0.8.6,sqlite3_str_value
0.23,0.23,python,_PyIO_find_line_ending
0.22,1.43,python,PyUnicode_InternInPlace
0.21,0.89,python,_Py_type_getattro
0.21,0.26,python,vgetargs1_impl
0.21,0.21,python,_PyTrash_begin
0.2,0.76,python,subtype_traverse
0.2,0.52,python,_PyDict_FromItems
0.2,0.5,python,PyUnicode_FromFormatV
0.2,0.25,python,tok_nextc
0.2,0.2,python,_PyFunction_Vectorcall
0.2,0.2,python,find_empty_slot
0.2,0.2,python,_PyUnicode_FromUCS1.part.0
0.19,0.49,python,tupletraverse
0.19,0.29,python,PyType_Modified
0.19,0.26,libsqlite3.so.0.8.6,sqlite3_str_vappendf
0.19,0.25,python,code_hash
0.18,0.81,python,PyCode_Addr2Line
0.18,0.42,python,_PyObject_LookupSpecial
0.17,1.3,python,assemble
0.17,0.25,python,_PyDict_MaybeUntrack
0.17,0.23,python,set_dealloc
0.17,0.17,libz.so.1.2.11,adler32_combine64
0.17,0.17,python,_PyUnicode_FromUCS4.part.0
0.16,1.56,python,PyObject_GenericSetAttr
0.16,0.66,[kernel.kallsyms],link_path_walk.part.0
0.16,0.45,python,_PyObject_VisitManagedDict
0.16,0.36,python,_PyTuple_FromArray
0.16,0.25,libsqlite3.so.0.8.6,sqlite3_keyword_check
0.16,0.24,[kernel.kallsyms],kmem_cache_alloc
0.16,0.19,python,insert_to_emptydict
0.16,0.16,python,PyErr_Occurred
0.15,6.44,python,list_extend
0.15,1.25,python,primary_rule
0.15,0.29,python,_PyObject_Realloc
0.15,0.24,python,_PyObject_Calloc
0.15,0.19,python,dictiter_iternextitem
0.15,0.17,python,intern_string_constants
0.15,0.16,python,set_lookkey
0.15,0.15,python,build_indices_unicode
0.14,39.41,python,_PyObject_MakeTpCall
0.14,2.57,python,PyObject_SetAttr
0.14,0.44,python,PyObject_RichCompare
0.14,0.26,python,_PyObject_GetInstanceAttribute
