self,children,shared obj,symbol
27.12,86.29,python,_PyEval_EvalFrameDefault
2.84,2.93,python,unicodekeys_lookup_unicode
2.22,3.13,python,_PyObject_Malloc
2.2,2.25,libc-2.31.so,__nss_database_lookup
1.92,2.16,python,_PyObject_Free
1.65,4.97,python,gc_collect_main
1.53,3.89,python,_PyFrame_ClearExceptCode
1.37,2.12,python,initialize_locals
1.23,3.53,python,_Py_dict_lookup
1.2,1.9,python,tupledealloc
0.98,1.48,python,_PyType_Lookup
0.92,0.92,python,advance
0.75,0.77,python,visit_decref
0.68,0.78,libc-2.31.so,pthread_attr_setschedparam
0.57,3.69,python,PyObject_GenericGetAttr
0.55,1.08,python,PyObject_IsTrue
0.55,0.59,python,tuple_alloc
0.52,1.03,python,sre_ucs1_match
0.48,26.16,python,PyObject_Vectorcall
0.47,1.19,python,insertdict
0.47,0.49,python,visit_reachable
0.45,1.89,python,subtype_dealloc
0.43,2.63,python,_PyEvalFramePushAndInit
0.43,0.44,python,PyObject_GC_UnTrack
0.41,2.32,python,r_object
0.41,0.41,python,_Py_Dealloc
0.4,1.16,python,update_one_slot
0.4,0.41,python,PyObject_GC_Del
0.4,0.4,python,PyType_IsSubtype
0.38,5.23,python,PyObject_GetAttr
0.38,1.37,python,PyDict_GetItemWithError
0.37,0.86,python,list_dealloc
0.35,0.76,python,PyType_GenericAlloc
0.34,1.11,python,PyCode_Addr2Line
0.34,1.06,python,_PyObject_GC_New
0.33,0.33,python,siphash13
0.32,0.32,python,_PyTrash_begin
0.31,0.31,python,_Py_NewReference
0.29,0.29,python,sre_ucs1_count
0.28,1.07,python,_PyObject_GetMethod
0.28,0.51,python,code_dealloc
0.28,0.28,python,_PyFunction_Vectorcall
0.27,32.33,python,_PyObject_MakeTpCall
0.26,1.36,python,find_name_in_mro
0.26,1.28,python,free_keys_object
0.25,0.25,[kernel.kallsyms],__d_lookup_rcu
0.25,0.25,libc-2.31.so,malloc
0.24,1.23,python,_PyDict_GetItem_KnownHash
0.24,0.53,python,dict_traverse
0.23,3.36,python,PyObject_SetAttr
0.23,1.93,python,_PyEval_Vector
0.23,0.41,python,unicode_dealloc
0.23,0.28,python,set_lookkey
0.22,0.7,python,PyObject_RichCompare
0.22,0.63,python,_PyObject_GenericGetAttrWithDict
0.22,0.34,python,_PyObject_Realloc
0.22,0.23,python,PyObject_IS_GC
0.22,0.22,python,_PyCode_Quicken
0.21,0.92,python,dict_dealloc
0.21,0.49,python,PyFunction_NewWithQualName
0.21,0.45,python,_Py_type_getattro
0.21,0.38,python,_PyTuple_FromArray
0.21,0.26,python,insert_to_emptydict
0.21,0.21,python,sre_ucs2_charset.isra.0
0.21,0.21,python,_PyTrash_end
0.2,0.34,python,_PyObject_LookupSpecial
0.19,0.19,python,find_empty_slot
0.19,0.19,python,_PyIO_find_line_ending
0.18,20.21,python,_PyObject_Call_Prepend
0.18,0.35,python,type_ready
0.18,0.25,[kernel.kallsyms],copy_user_enhanced_fast_string
0.18,0.18,libpthread-2.31.so,__pthread_mutex_lock
0.17,18.17,python,slot_tp_init
0.17,0.84,python,PyUnicode_InternInPlace
0.17,0.37,python,unicode_lower
0.17,0.24,python,convertitem
0.16,23.3,python,type_call
0.16,0.39,python,vgetargskeywords
0.16,0.16,python,intern_string_constants
0.15,1.95,python,super_getattro
0.15,1.54,python,_PyObject_LookupAttr
0.15,0.58,python,_PyObject_GC_NewVar
0.15,0.48,python,_PyDict_FromItems
0.15,0.39,python,_PyTuple_FromArraySteal
0.15,0.15,python,_PyErr_SetObject.part.0
0.14,5.17,python,list_extend
0.14,0.51,python,object_new
0.14,0.38,python,dict_merge
0.14,0.38,python,build_string
0.14,0.37,python,PyUnicode_FromFormatV
0.14,0.28,python,PyList_New
0.14,0.26,python,vgetargs1_impl
0.14,0.15,python,tailmatch
0.14,0.15,python,PyLong_FromSsize_t
0.14,0.14,[kernel.kallsyms],syscall_return_via_sysret
0.14,0.14,python,PyUnicode_New.part.0
0.14,0.14,python,_PyUnicode_JoinArray.part.0
0.14,0.14,[kernel.kallsyms],clear_page_erms
0.13,81.9,python,PyObject_Call
0.13,0.84,python,_PyObject_FreeInstanceAttributes
0.13,0.52,python,unicode_hash
0.13,0.28,python,split
0.13,0.25,python,_PyStack_UnpackDict
0.13,0.22,python,PyUnicode_RichCompare
0.13,0.13,python,object_dealloc
0.13,0.13,python,PyObject_Malloc
0.13,0.13,python,PyObject_Hash
0.13,0.13,python,_PyUnicode_FromUCS4.part.0
0.13,0.13,python,_PyObject_GC_Link
0.12,1.19,python,PyObject_GetIter
0.12,0.74,python,func_dealloc
0.12,0.33,python,PyTuple_New
0.12,0.3,python,subtype_traverse
0.12,0.29,python,tupletraverse
0.12,0.26,python,PyCMethod_New
0.12,0.25,python,unicode_decode_utf8
0.12,0.21,[kernel.kallsyms],kmem_cache_alloc
0.12,0.18,python,PyLong_FromLong
0.12,0.13,[kernel.kallsyms],_raw_spin_lock
0.12,0.12,python,_PyThreadState_UncheckedGet
0.12,0.12,python,PyObject_Free
0.12,0.12,python,_PyUnicode_FromUCS1.part.0
0.12,0.12,python,_Py_bytes_lower
0.11,55.37,python,method_vectorcall
0.11,3.84,python,PyObject_CallOneArg
0.11,0.31,python,frame_dealloc
0.11,0.17,libc-2.31.so,psiginfo
0.11,0.12,python,_PyPegen_is_memoized
0.11,0.11,[kernel.kallsyms],sync_regs
0.11,0.11,python,PySlice_AdjustIndices
0.11,0.11,python,PyDict_SetItem
0.11,0.11,libpthread-2.31.so,pthread_mutex_unlock
0.1,2.93,python,PyObject_GenericSetAttr
0.1,1.24,python,PyObject_GetItem
0.1,0.32,python,dictresize
0.1,0.29,python,gen_dealloc
0.1,0.23,python,_PyObject_InitializeDict
0.1,0.18,python,func_clear
0.1,0.17,ld-2.31.so,_dl_rtld_di_serinfo
0.1,0.1,[vdso],0x00000000000006c8
0.1,0.1,python,_PyThreadState_PopFrame
0.1,0.1,python,_PyThreadState_PushFrame
0.1,0.1,[kernel.kallsyms],native_irq_return_iret
0.09,2.44,[kernel.kallsyms],__tcp_transmit_skb
0.09,0.88,python,vectorcall_method
0.09,0.57,python,PyObject_RichCompareBool
0.09,0.31,python,meth_dealloc
0.09,0.27,[kernel.kallsyms],__dev_queue_xmit
0.09,0.24,python,method_dealloc
0.09,0.13,python,PyLong_FromString
0.09,0.12,[kernel.kallsyms],kmem_cache_free
0.09,0.11,[kernel.kallsyms],__inet_lookup_established
0.09,0.09,python,PyUnicode_AsEncodedString.part.0
0.09,0.09,python,countformat
0.09,0.09,python,long_richcompare
0.08,3.48,python,cfunction_call
0.08,2.15,[kernel.kallsyms],ip_finish_output2
0.08,0.71,python,tp_new_wrapper
0.08,0.44,[kernel.kallsyms],link_path_walk.part.0
0.08,0.36,python,func_traverse
0.08,0.34,[kernel.kallsyms],tcp_ack
0.08,0.27,python,PySequence_Contains
0.08,0.24,python,PyUnicode_FromEncodedObject
0.08,0.14,python,long_to_decimal_string_internal
0.08,0.14,python,_PyTuple_MaybeUntrack
0.08,0.1,python,_PyBuildSlice_ConsumeRefs
0.08,0.08,libc-2.31.so,clock_gettime
0.08,0.08,python,PyNumber_AsSsize_t
0.08,0.08,[kernel.kallsyms],memset_erms
0.08,0.08,python,_PyTrash_cond
0.08,0.08,python,_copy_characters.part.0.constprop.0
0.08,0.08,python,set_traverse
0.08,0.08,python,PyErr_Occurred
0.08,0.08,python,unicode_rstrip
0.08,0.08,python,dictiter_iternextkey
0.08,0.08,[kernel.kallsyms],__slab_free
0.07,8.38,[kernel.kallsyms],do_syscall_64
0.07,1.91,python,method_vectorcall_VARARGS_KEYWORDS
0.07,1.48,[kernel.kallsyms],tcp_v4_rcv
0.07,0.82,python,PyDict_SetDefault
0.07,0.75,python,PyObject_IsInstance
0.07,0.57,python,BaseException_clear
0.07,0.45,python,_Py_HashBytes
0.07,0.35,python,PyBytes_FromStringAndSize
0.07,0.35,python,tb_dealloc
0.07,0.29,python,_PyArg_ParseTuple_SizeT
0.07,0.2,[kernel.kallsyms],tcp_clean_rtx_queue
0.07,0.2,python,unicode_partition
0.07,0.17,python,odictiter_iternext
0.07,0.14,python,_PyUnicode_FromASCII
0.07,0.13,python,_PyObject_VisitManagedDict
0.07,0.12,python,getset_get
