self,children,object,symbol
29.91,80.2,python,_PyEval_EvalFrameDefault
13.79,21.42,python,gc_collect_main
2.9,3.43,python,_PyObject_Malloc
2.7,2.93,python,unicodekeys_lookup_unicode
2.62,2.64,python,visit_decref
2.27,4.54,python,_PyFrame_ClearExceptCode
2.07,2.17,python,_PyObject_Free
1.56,1.85,python,_PyType_Lookup
1.55,1.99,python,initialize_locals
1.5,4.06,python,_Py_dict_lookup
1.36,4.05,python,subtype_traverse
1.36,1.39,libc-2.31.so,__nss_database_lookup
1.26,1.27,python,visit_reachable
1.22,2.91,python,subtype_dealloc
1.08,2.72,python,PyDict_GetItemRef
0.91,0.91,python,siphash13
0.9,1.88,_json.cpython-313-x86_64-linux-gnu.so,scanstring_unicode
0.81,5.41,_json.cpython-313-x86_64-linux-gnu.so,scan_once_unicode
0.76,1.3,python,tupledealloc
0.7,0.7,python,PyType_IsSubtype
0.7,0.7,python,PyObject_GC_UnTrack
0.68,2.25,python,list_dealloc
0.58,4.96,python,_PyEval_FrameClearAndPop
0.52,1.55,python,insertdict
0.52,1.38,python,_PyObject_GenericGetAttrWithDict
0.51,1.07,python,list_traverse
0.47,2.42,python,free_keys_object
0.47,1.48,python,_PyObject_GenericSetAttrWithDict
0.46,2.84,python,_PyEvalFramePushAndInit
0.4,1.1,python,_PyObject_GetMethod
0.34,0.34,python,PyObject_GC_Del
0.31,1.68,python,object_isinstance
0.31,0.31,python,_Py_NewReference
0.29,0.29,python,PyUnicode_New.part.0
0.28,2.52,python,dict_dealloc
0.28,1.01,python,PyType_GenericAlloc
0.27,1.05,python,PyUnicode_Substring
0.26,1.73,python,PyObject_SetAttr
0.26,0.91,python,_PyObject_GC_New
0.25,1.04,python,do_super_lookup
0.25,0.28,python,tuple_alloc
0.25,0.25,python,_PyTrash_end
0.25,0.25,python,_Py_Dealloc
0.23,18.86,python,_PyObject_Call_Prepend
0.23,0.44,python,_PyList_FromArraySteal
0.21,1.58,python,_PyEval_Vector
0.21,1.38,python,PyObject_GetOptionalAttr
0.21,0.34,python,_PyThreadState_PopFrame
0.21,0.21,python,unicode_dealloc
0.2,0.2,python,PyMember_SetOne
0.2,0.2,python,_PyTrash_begin
0.19,1.39,python,PyDict_SetDefault
0.19,1.31,python,PyObject_GetAttr
0.19,0.88,python,PyObject_GenericGetAttr
0.18,0.32,python,_PyTuple_FromArray
0.18,0.29,python,PyObject_IsInstance
0.17,25.81,python,_PyObject_MakeTpCall
0.17,18.25,python,slot_tp_init
0.17,5.25,python,PyObject_Vectorcall
0.16,0.39,python,_PyThreadState_PushFrame
0.16,0.39,python,_PyStack_UnpackDict
0.16,0.34,python,_Py_type_getattro
0.16,0.16,python,find_empty_slot
0.16,0.16,python,_PyType_GetDict
0.15,0.5,python,_PyDict_FromItems
0.15,0.44,python,list_iter
0.15,0.28,python,getset_get
0.15,0.18,python,_PyPegen_is_memoized
0.14,1.13,python,_PySuper_Lookup
0.14,0.16,python,PyUnicode_Contains
0.14,0.14,python,_PyObject_GC_Link
0.14,0.14,python,PyDict_SetItem
0.13,0.81,python,PyObject_GetIter
0.13,0.77,python,PyObject_RichCompareBool
0.13,0.49,python,new_keys_object
0.13,0.4,python,insert_to_emptydict
0.13,0.4,python,PyList_New
0.13,0.17,python,_PyObject_Calloc
0.13,0.13,python,PySequence_Contains
0.13,0.13,python,PyObject_Hash
0.12,0.44,python,PyObject_IsTrue
0.12,0.42,python,_PyUnicode_InternInPlace
0.12,0.42,python,_PyObject_FreeInstanceAttributes
0.12,0.12,python,PyObject_IS_GC
0.12,0.12,[kernel.kallsyms],native_irq_return_iret
0.12,0.12,python,PyDict_Next
0.12,0.12,python,PyObject_Malloc
0.11,0.76,python,dict_get
0.11,0.22,python,_PyTuple_FromArraySteal
0.11,0.16,python,_PyObject_Realloc
0.11,0.12,[kernel.kallsyms],copy_user_enhanced_fast_string
0.1,1.04,python,unicode_hash (inlined)
0.1,0.4,python,find_name_in_mro
0.1,0.18,libc-2.31.so,pthread_attr_setschedparam
0.1,0.1,python,build_indices_unicode
0.1,0.1,python,_PyFunction_Vectorcall
0.09,19.81,python,type_call
0.09,0.79,python,object_new
0.09,0.18,python,list_subscript
0.09,0.17,python,set_dealloc
0.09,0.14,python,PyTuple_New
0.09,0.13,python,ascii_decode
0.09,0.1,python,dictiter_iternextitem
0.09,0.1,python,listiter_dealloc
0.09,0.09,[kernel.kallsyms],sync_regs
0.08,1.45,python,slot_sq_contains
0.08,0.65,python,tuplehash
0.08,0.64,python,PyObject_RichCompare
0.08,0.34,python,set_lookkey
0.08,0.26,python,dict_traverse
0.08,0.15,python,PyLong_FromString
0.08,0.11,python,list_pop
0.08,0.08,python,listiter_next
0.08,0.08,python,PyObject_Free
0.08,0.08,python,_PyTrash_cond
0.07,0.94,python,PyObject_GetItem
0.07,0.35,python,_PyDict_GetItem_KnownHash
0.07,0.33,python,rsplit
0.07,0.24,python,_PyObject_GC_New
0.07,0.22,python,PyFunction_NewWithQualName
0.07,0.22,python,_PyPegen_expect_token
0.07,0.17,python,PyList_Append
0.07,0.16,python,_Py_hashtable_get_entry_generic
0.07,0.16,python,member_set
0.07,0.16,python,split
0.07,0.13,python,_PyObject_GetInstanceAttribute
0.07,0.1,python,tok_get_normal_mode
0.07,0.07,python,_PyArg_UnpackKeywords
0.07,0.07,python,memset@plt
0.06,0.98,python,_Py_HashBytes
0.06,0.63,python,slot_mp_subscript
0.06,0.51,python,list_extend
0.06,0.25,python,_PyList_AppendTakeRefListResize
0.06,0.22,python,func_dealloc
0.06,0.22,python,set_add_entry
0.06,0.18,python,PyCell_New
0.06,0.17,python,dict_subscript
0.06,0.17,python,PyObject_VisitManagedDict
0.06,0.13,python,_Py_type_getattro
0.06,0.09,python,PyLong_FromSsize_t
0.06,0.08,python,cell_dealloc
0.06,0.07,python,_PyPegen_update_memo
0.06,0.06,[kernel.kallsyms],clear_page_erms
0.06,0.06,python,PyDescr_IsData
0.06,0.06,python,_Py_CheckFunctionResult
0.06,0.06,python,PyThreadState_GetUnchecked
0.06,0.06,python,PyBool_FromLong
0.05,0.91,python,slot_tp_hash
0.05,0.53,python,method_vectorcall_O
0.05,0.37,python,r_object
