self,children,shared obj,symbol
26.17,60.62,_pickle.cpython-312-x86_64-linux-gnu.so,save
9.04,10.45,_pickle.cpython-312-x86_64-linux-gnu.so,_Pickler_Write
7.6,9.5,_pickle.cpython-312-x86_64-linux-gnu.so,PyMemoTable_Set
4.32,82.23,python,_PyEval_EvalFrameDefault
4.32,5.74,_pickle.cpython-312-x86_64-linux-gnu.so,Pickler_clear
3.87,3.87,_pickle.cpython-312-x86_64-linux-gnu.so,memo_put.isra.0
3.75,3.78,libc-2.31.so,__nss_database_lookup
3.14,3.15,python,PyDict_Next
2.79,2.79,python,PyUnicode_AsUTF8AndSize
2.43,2.43,_pickle.cpython-312-x86_64-linux-gnu.so,_Pickler_Write.constprop.3
1.65,1.65,_pickle.cpython-312-x86_64-linux-gnu.so,memo_get.isra.0
1.61,1.64,python,unicodekeys_lookup_unicode
1.54,1.58,libc-2.31.so,pthread_attr_setschedparam
1.35,1.82,python,_PyObject_Free
1.24,3.36,python,gc_collect_main
1.14,2.42,python,_PyObject_Malloc
0.97,1.51,python,_PyType_Lookup
0.66,2.06,python,_Py_dict_lookup
0.51,0.54,python,visit_decref
0.51,0.51,python,PyLong_AsLongAndOverflow
0.46,0.87,python,tupledealloc
0.42,0.42,python,advance
0.36,0.36,python,visit_reachable
0.32,1.81,python,PyObject_GenericGetAttr
0.31,0.31,_pickle.cpython-312-x86_64-linux-gnu.so,0x0000000000005cb4
0.28,1.59,python,r_object
0.26,0.76,python,_PyObject_GenericGetAttrWithDict
0.26,0.26,_pickle.cpython-312-x86_64-linux-gnu.so,_Pickler_New.isra.0
0.25,3.01,python,_PyObject_LookupAttr
0.25,0.27,python,PyObject_GC_UnTrack
0.24,0.47,python,do_mkvalue
0.24,0.38,python,split
0.24,0.24,python,siphash13
0.22,0.25,python,tuple_alloc
0.22,0.22,libc-2.31.so,malloc
0.21,65.46,_pickle.cpython-312-x86_64-linux-gnu.so,_pickle_dumps
0.21,0.28,python,_PyObject_Realloc
0.2,0.88,python,PyDict_GetItemWithError
0.2,0.75,python,unicode_decode_utf8
0.2,0.61,python,_PyBytes_Resize
0.2,0.58,python,_PyObject_GC_New
0.2,0.46,python,_PyFrame_ClearExceptCode
0.2,0.27,python,ascii_decode
0.19,0.77,python,_PyDict_GetItem_KnownHash
0.19,0.64,python,update_one_slot
