self,children,object,symbol
40.89,69.16,_pickle.cpython-313-x86_64-linux-gnu.so,save
12.14,12.14,python,PyDict_Next
8.18,8.18,_pickle.cpython-313-x86_64-linux-gnu.so,_Pickler_Write
6.22,6.22,_pickle.cpython-313-x86_64-linux-gnu.so,_Pickler_Write.constprop.3
3.73,3.73,python,PyLong_AsLongAndOverflow
3.63,75.73,python,_PyEval_EvalFrameDefault
2.25,2.92,_pickle.cpython-313-x86_64-linux-gnu.so,PyMemoTable_Set
1.33,1.56,_pickle.cpython-313-x86_64-linux-gnu.so,Pickler_clear
1.03,1.07,libc-2.31.so,__nss_database_lookup
0.9,2.6,python,gc_collect_main
0.85,0.88,python,unicodekeys_lookup_unicode
0.76,0.76,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000005e94
0.67,0.67,_pickle.cpython-313-x86_64-linux-gnu.so,memo_put.isra.0
0.66,0.66,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000005d04
0.56,1.08,python,_PyObject_Malloc
0.52,0.61,libc-2.31.so,pthread_attr_setschedparam
0.46,0.48,python,visit_decref
0.41,0.55,python,_PyObject_Free
0.39,0.4,python,visit_reachable
0.37,1.09,python,_Py_dict_lookup
0.3,0.43,python,tupledealloc
0.27,0.27,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000006004
0.27,0.27,python,_PyThreadState_GetCurrent
0.25,0.39,python,_PyType_Lookup
0.24,1.74,python,r_object
0.21,0.69,python,update_one_slot
0.21,0.52,python,_PyFrame_ClearExceptCode
0.18,0.66,python,find_name_in_mro
0.17,0.23,python,_PyCode_Quicken
0.16,0.25,python,_PyObject_Malloc
0.15,0.3,python,_Py_hashtable_get_entry_generic
0.14,0.14,python,siphash13
0.12,0.27,python,dict_traverse
0.12,0.17,python,initialize_locals
0.12,0.14,python,_PyObject_Free
0.12,0.12,python,_PyUnicode_FromUCS1.part.0
0.11,0.11,python,intern_string_constants
0.1,0.44,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.1,0.41,python,insertdict
0.1,0.31,python,type_ready
0.1,0.25,python,code_dealloc
0.1,0.23,python,list_dealloc
0.09,0.47,python,_PyDict_GetItem_KnownHash
0.09,0.23,python,PyDict_GetItemRef
0.09,0.09,[kernel.kallsyms],native_irq_return_iret
0.08,0.42,python,free_keys_object
0.08,0.18,ld-2.31.so,_dl_rtld_di_serinfo
0.08,0.08,python,PyUnicode_New.part.0
0.08,0.08,python,PyObject_GC_Del
0.08,0.08,python,PyObject_GC_UnTrack
0.07,0.11,[kernel.kallsyms],copy_user_enhanced_fast_string
0.07,0.08,python,PyObject_IS_GC
0.07,0.07,[kernel.kallsyms],sync_regs
0.07,0.07,libc-2.31.so,malloc
0.07,0.07,[kernel.kallsyms],__d_lookup_rcu
0.07,0.07,python,_Py_GetBaseOpcode
0.06,0.66,python,_PyUnicode_InternInPlace
0.06,0.45,python,_PyCode_New
0.06,0.24,python,_PyObject_GenericGetAttrWithDict
0.06,0.18,python,tupletraverse
0.06,0.12,python,sre_ucs1_match
0.06,0.06,python,_Py_NewReference
0.06,0.06,[kernel.kallsyms],smp_call_function_single
0.06,0.06,python,_PyPegen_is_memoized
0.06,0.06,python,_PyUnicode_FromUCS4.part.0
0.05,0.56,python,_PyEval_FrameClearAndPop
0.05,0.52,python,PyObject_GenericGetAttr
0.05,0.28,python,_PyEvalFramePushAndInit
0.05,0.16,python,PyType_GenericAlloc
0.05,0.12,python,PyTuple_New
0.05,0.11,[kernel.kallsyms],zap_pte_range.isra.0
0.05,0.09,python,vgetargs1_impl
0.05,0.08,python,_PyTuple_FromArray
0.05,0.06,python,ascii_decode
0.05,0.05,python,_PyIO_find_line_ending
0.05,0.05,libmagic.so.1.0.0,0x000000000000f936
0.05,0.05,python,_Py_Dealloc
0.05,0.05,python,_PyTrash_end
0.05,0.05,[kernel.kallsyms],clear_page_erms
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.05,0.05,python,build_indices_unicode
0.04,7.71,python,PyObject_Vectorcall
0.04,0.36,python,PyDict_SetDefault
0.04,0.23,python,subtype_dealloc
0.04,0.2,python,func_traverse
0.04,0.12,python,_Py_type_getattro
0.04,0.1,python,PyList_Append
0.04,0.07,python,frame_dealloc
0.04,0.07,python,PyObject_VisitManagedDict
0.04,0.07,python,_PyObject_Realloc
0.04,0.06,python,set_traverse
0.04,0.05,python,tuple_alloc
0.04,0.04,python,PyType_IsSubtype
0.04,0.04,python,PyDict_SetItem
0.04,0.04,python,unicode_dealloc
0.04,0.04,python,set_lookkey
0.04,0.04,python,convertitem.constprop.0
0.04,0.04,[kernel.kallsyms],rmqueue
0.04,0.04,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000005e90
0.04,0.04,[kernel.kallsyms],free_pcppages_bulk
0.04,0.04,python,PyErr_Occurred
0.04,0.04,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000006000
0.03,60.26,_pickle.cpython-313-x86_64-linux-gnu.so,_pickle_dumps
0.03,0.39,[kernel.kallsyms],__handle_mm_fault
0.03,0.34,python,PyObject_GetOptionalAttr
0.03,0.3,python,func_dealloc
0.03,0.2,python,_PyEval_Vector
0.03,0.19,python3.8,_PyEval_EvalFrameDefault
0.03,0.19,python,dict_dealloc
0.03,0.17,python,_PyObject_GC_New
0.03,0.14,ld-2.31.so,_dl_catch_error
0.03,0.14,python,_PyObject_GetMethod
0.03,0.11,python,subtype_traverse
0.03,0.1,python,new_keys_object
0.03,0.1,python,_PyBytes_Resize
0.03,0.09,python,PyFunction_NewWithQualName
0.03,0.07,python,_PyPegen_expect_token
0.03,0.07,python,_PyTuple_FromArraySteal
0.03,0.06,python,PyUnicode_FromFormatV
0.03,0.05,python,PyObject_IsTrue
0.03,0.04,[kernel.kallsyms],copy_pte_range.isra.0
0.03,0.03,python,find_empty_slot
0.03,0.03,python,sre_ucs1_count
0.03,0.03,_pickle.cpython-313-x86_64-linux-gnu.so,_Pickler_New.isra.0
0.03,0.03,python,PyObject_Malloc
0.03,0.03,python,_PyTrash_begin
0.03,0.03,python,type_is_gc
0.03,0.03,python,PyObject_Free
0.03,0.03,python,_PyObject_GC_Link
0.03,0.03,python,PyObject_Hash
0.03,0.03,python,_PyUnicode_JoinArray.part.0
0.02,5.51,python,_PyObject_MakeTpCall
0.02,2.14,python,list_extend
0.02,0.78,python,PyObject_GetAttr
0.02,0.49,python,PyObject_GetItem
0.02,0.48,[kernel.kallsyms],do_user_addr_fault
0.02,0.43,[kernel.kallsyms],handle_mm_fault
0.02,0.25,python,method_vectorcall_VARARGS
0.02,0.22,python,PyBytes_FromStringAndSize
0.02,0.14,python,_sre_SRE_Pattern_match
0.02,0.13,[kernel.kallsyms],link_path_walk.part.0
0.02,0.13,python,unicode_decode_utf8
0.02,0.09,python,_PyObject_GC_NewVar
0.02,0.08,python,_PyObject_GenericGetAttrWithDict
0.02,0.07,python,object_isinstance
0.02,0.07,python,_PyDict_LoadGlobal
0.02,0.07,python,PyObject_RichCompareBool
0.02,0.07,[kernel.kallsyms],do_wp_page
0.02,0.06,python,meth_dealloc
0.02,0.06,python,_PyObject_GC_New
0.02,0.06,python,dict_traverse
0.02,0.06,python,_PyTuple_MaybeUntrack
0.02,0.06,python,type_traverse
0.02,0.06,python,PyCMethod_New
0.02,0.06,python,func_clear
0.02,0.05,python,split
0.02,0.05,python,insert_to_emptydict
0.02,0.05,python,PyUnicode_Substring
0.02,0.05,python,_PyDict_FromItems
0.02,0.05,python,r_string (inlined)
0.02,0.05,python3.8,PyOS_strtoul
0.02,0.04,[kernel.kallsyms],kmem_cache_alloc
0.02,0.04,[kernel.kallsyms],inode_permission
0.02,0.04,python,PyList_New
0.02,0.04,python,list_traverse
0.02,0.04,python,_PyObject_Calloc
0.02,0.04,python,_PyStack_UnpackDict
0.02,0.04,python,_PyCfg_OptimizeCodeUnit
0.02,0.04,python,_PyThreadState_PopFrame
0.02,0.03,[kernel.kallsyms],copy_user_enhanced_fast_string
0.02,0.03,[kernel.kallsyms],find_get_entry
0.02,0.03,python,_PyThreadState_PushFrame
0.02,0.03,python3.8,_PyObject_LookupSpecial
0.02,0.03,python,_PyTuple_ClearFreeList
0.02,0.03,[kernel.kallsyms],find_vma
0.02,0.03,python,PyNumber_AsSsize_t
0.02,0.03,python,_PyDict_MaybeUntrack
0.02,0.03,python,PyUnicode_AsUCS4
0.02,0.03,[kernel.kallsyms],try_charge
0.02,0.03,python,set_dealloc
0.02,0.03,python,dictiter_iternextitem
0.02,0.03,python,hashtable_unicode_compare
0.02,0.02,libpython3.11.so.1.0,PyDict_SetDefault
0.02,0.02,python,_PyUnicode_Equal
0.02,0.02,python,tailmatch
0.02,0.02,[kernel.kallsyms],_raw_spin_lock
0.02,0.02,[kernel.kallsyms],page_remove_rmap
0.02,0.02,[kernel.kallsyms],__ext4fs_dirhash
0.02,0.02,libpthread-2.31.so,pthread_mutex_unlock
0.02,0.02,libpthread-2.31.so,__pthread_mutex_lock
0.02,0.02,python,do_mkvalue
0.02,0.02,python,_PyType_GetDict
0.02,0.02,libc-2.31.so,free
0.02,0.02,python,PyObject_GC_Track
0.02,0.02,libpython3.11.so.1.0,_PyDict_GetItem_KnownHash
0.02,0.02,[kernel.kallsyms],get_mem_cgroup_from_mm
0.02,0.02,python,PySlice_AdjustIndices
0.02,0.02,python,_PyFunction_Vectorcall
0.02,0.02,python,PyMem_Malloc
0.02,0.02,python,PySequence_Contains
0.02,0.02,[kernel.kallsyms],memcg_kmem_get_cache
0.02,0.02,[kernel.kallsyms],memcpy_erms
0.02,0.02,python,_PyTrash_cond
0.02,0.02,[kernel.kallsyms],copy_page
0.02,0.02,python,_PyCode_Validate
0.02,0.02,python,_copy_characters.part.0.constprop.0
0.02,0.02,libc-2.31.so,__libc_realloc
0.01,58.39,_pickle.cpython-313-x86_64-linux-gnu.so,dump
0.01,14.27,python,cfunction_vectorcall_FASTCALL_KEYWORDS
0.01,13.82,python,PyObject_Call
0.01,10.25,python,PyObject_CallMethodObjArgs
0.01,10.16,python,PyImport_ImportModuleLevelObject
0.01,4.74,python,method_vectorcall
0.01,4.37,python,type_call
0.01,4.27,python,gen_iternext
0.01,3.24,python,_PyObject_Call_Prepend
0.01,2.4,python,slot_tp_init
0.01,1.86,python,builtin___build_class__
0.01,1.3,python,_PyObject_CallFunctionVa
0.01,1.24,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
0.01,1.22,[kernel.kallsyms],do_syscall_64
0.01,1.05,python,type_new
0.01,0.88,python,slot_tp_new
0.01,0.81,python,bounded_lru_cache_wrapper
0.01,0.71,[kernel.kallsyms],page_fault
0.01,0.58,python,_io_open
0.01,0.55,python,cfunction_call
0.01,0.51,python,PyObject_CallOneArg
0.01,0.49,[kernel.kallsyms],__do_page_fault
0.01,0.41,python,slot_tp_iternext
0.01,0.34,python,PyObject_VectorcallMethod
0.01,0.34,python,tp_new_wrapper
0.01,0.3,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
0.01,0.29,python,method_vectorcall_FASTCALL
0.01,0.27,python,cfunction_vectorcall_NOARGS
0.01,0.27,python,_io_FileIO___init__
0.01,0.25,python,_Py_hashtable_get
0.01,0.24,python,PyObject_SetAttr
0.01,0.22,[kernel.kallsyms],do_anonymous_page
0.01,0.22,python,_io__Buffered_read
0.01,0.2,python,map_next
0.01,0.2,python,inversion_rule
0.01,0.19,python3.8,_PyFunction_Vectorcall
0.01,0.18,python,bitwise_and_rule
0.01,0.18,python,PyObject_GetIter
0.01,0.17,python,term_rule
0.01,0.17,python,PySequence_Tuple
0.01,0.16,[kernel.kallsyms],generic_file_buffered_read
0.01,0.15,python,dictresize
0.01,0.15,python,primary_rule
0.01,0.14,python,unicode_hash (inlined)
0.01,0.13,python,hashtable_unicode_hash
0.01,0.13,python,stringio_iternext
0.01,0.12,python,method_vectorcall_NOARGS
0.01,0.12,[kernel.kallsyms],__alloc_pages_nodemask
0.01,0.11,python,reversed_new_impl
0.01,0.11,python,_PyObject_GenericSetAttrWithDict
0.01,0.1,[kernel.kallsyms],get_page_from_freelist
0.01,0.1,python,slot_tp_setattro
0.01,0.1,python,PyArg_ParseTuple
0.01,0.1,python,PyObject_IsInstance
0.01,0.09,python,unicode_join
0.01,0.09,python,_textiowrapper_readline
0.01,0.09,[kernel.kallsyms],lookup_fast
0.01,0.09,[kernel.kallsyms],walk_component
0.01,0.08,python,PyIter_Next
0.01,0.08,python,t_primary_rule
0.01,0.08,python,method_dealloc
0.01,0.08,python,tb_dealloc
0.01,0.08,python,unicode_startswith
0.01,0.08,python,_PyObject_FreeInstanceAttributes
0.01,0.08,python,allocate_from_new_pool
0.01,0.08,python,_PyPegen_fill_token
0.01,0.07,libpython3.11.so.1.0,gc_collect_main
0.01,0.07,[kernel.kallsyms],free_pages_and_swap_cache
0.01,0.07,python,dict_merge
0.01,0.07,python,compiler_visit_expr1
0.01,0.07,libpython3.11.so.1.0,r_object
0.01,0.07,python,_PyAssemble_MakeCodeObject
0.01,0.07,[kernel.kallsyms],release_pages
0.01,0.06,python,take_gil
0.01,0.06,[kernel.kallsyms],getname_flags
0.01,0.05,python,_PyObject_GetMethod
0.01,0.05,python,min_max
0.01,0.05,python,_PyObject_NewVar
0.01,0.05,[kernel.kallsyms],mem_cgroup_try_charge
0.01,0.05,libpython3.11.so.1.0,deduce_unreachable
0.01,0.05,python,object_new
0.01,0.05,libpython3.11.so.1.0,type_new
0.01,0.04,[kernel.kallsyms],free_unref_page_list
0.01,0.04,python,unicode_subscript
0.01,0.04,python,list_sort_impl
0.01,0.04,python3.8,_Py_convert_optional_to_ssize_t
0.01,0.04,python,PyTraceBack_Here
0.01,0.04,python,PyDict_GetItemWithError
0.01,0.04,python,set_contains
0.01,0.04,python,_PyFrame_MakeAndSetFrameObject
0.01,0.03,python,mro_internal
0.01,0.03,python,_Py_type_getattro_impl
0.01,0.03,python,_PyObject_GC_NewVar
0.01,0.03,python,_PyObject_GenericSetAttrWithDict
0.01,0.03,python,PyMethod_New
0.01,0.03,[kernel.kallsyms],strncpy_from_user
0.01,0.03,python,unicode_lower
0.01,0.03,libpython3.11.so.1.0,PyObject_Malloc
0.01,0.03,python,_PyFrame_New_NoTrack
0.01,0.03,python,list_iter
0.01,0.03,python,PyLong_FromLong
0.01,0.03,[kernel.kallsyms],show_cpuinfo
0.01,0.03,python,do_super_lookup
0.01,0.03,ld-2.31.so,_dl_rtld_di_serinfo
0.01,0.03,python,_PyObject_LookupSpecial
0.01,0.03,python,set_update_internal
0.01,0.03,python,_PyObject_Realloc
0.01,0.03,libpython3.11.so.1.0,PyUnicode_InternInPlace
0.01,0.03,python,subtype_clear
0.01,0.03,python,unicode_endswith
0.01,0.03,python,tok_get_normal_mode
0.01,0.03,python,_PyArena_AddPyObject
0.01,0.02,python,_PyList_FromArraySteal
0.01,0.02,python,_PyLong_New
0.01,0.02,python,_PyObject_GetInstanceAttribute
0.01,0.02,python,PyMember_GetOne
0.01,0.02,[kernel.kallsyms],perf_iterate_ctx
0.01,0.02,python,_PyUnicode_FromASCII (inlined)
0.01,0.02,python,unicode_encode_utf8
0.01,0.02,python,remove_all_subclasses
0.01,0.02,python,PyDict_Copy
0.01,0.02,python,_PyDict_DelItem_KnownHash
0.01,0.02,[kernel.kallsyms],filemap_map_pages
0.01,0.02,python,list_subscript
0.01,0.02,python,_PyErr_SetKeyError
0.01,0.02,python,tuple_iter
0.01,0.02,python,symtable_visit_expr
0.01,0.02,python,PyDict_New
0.01,0.02,python,drop_gil
0.01,0.02,[kernel.kallsyms],ext4_htree_store_dirent
0.01,0.02,python,k_mul
0.01,0.02,python,_PyFrame_Traverse
0.01,0.02,python,_PyObject_GetInstanceAttribute
0.01,0.02,python,_PyArena_Malloc
0.01,0.02,python,_PyList_FromArraySteal
0.01,0.02,[kernel.kallsyms],entry_SYSCALL_64
0.01,0.02,libpython3.11.so.1.0,PyTuple_New
0.01,0.02,python,_PyUnicodeWriter_Finish
0.01,0.02,python,_PyEval_SliceIndex
0.01,0.02,python,meth_traverse
0.01,0.02,python,unicode_rpartition
0.01,0.02,python,PyThread_get_thread_ident
0.01,0.02,[kernel.kallsyms],__vma_adjust
0.01,0.02,python,_PyCfg_OptimizedCfgToInstructionSequence
0.01,0.02,python,code_hash
0.01,0.02,python,listiter_next
0.01,0.02,python,resize_compact
0.01,0.02,python,update_slot
0.01,0.02,python,list_traverse
0.01,0.02,python,getset_get
0.01,0.02,[kernel.kallsyms],__pagevec_lru_add_fn
