self,children,object,symbol
75.96,91.85,python,_PyEval_EvalFrameDefault
1.13,3.32,python,gc_collect_main
1.04,1.06,python,unicodekeys_lookup_unicode
0.91,1.44,python,_PyObject_Malloc
0.69,0.8,python,_PyObject_Free
0.64,0.74,libc-2.31.so,__nss_database_lookup
0.61,0.62,python,visit_decref
0.45,1.33,python,_Py_dict_lookup
0.45,0.45,python,visit_reachable
0.34,0.74,python,PyIter_Next
0.34,0.56,python,tupledealloc
0.31,0.52,python,_PyType_Lookup
0.29,2.14,python,r_object
0.29,0.66,python,_PyFrame_ClearExceptCode
0.28,0.89,python,update_one_slot
0.28,0.43,libc-2.31.so,pthread_attr_setschedparam
0.26,0.26,python,listiter_next
0.24,0.85,python,find_name_in_mro
0.23,0.31,python,_PyCode_Quicken
0.19,0.19,python,siphash13
0.18,0.26,python,initialize_locals
0.18,0.18,python,PyObject_GC_Del
0.17,0.41,python,dict_traverse
0.17,0.36,python,_Py_hashtable_get_entry_generic
0.16,0.16,python,_PyUnicode_FromUCS1.part.0
0.14,0.14,python,tupleiter_next
0.13,0.6,python,_PyDict_GetItem_KnownHash
0.13,0.54,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.13,0.45,python,_PyObject_GC_New
0.13,0.3,python,code_dealloc
0.13,0.29,python,list_dealloc
0.12,0.47,python,insertdict
0.12,0.35,python,type_ready
0.12,0.29,python,PyDict_GetItemRef
0.12,0.12,python,_PyUnicode_FromUCS4.part.0
0.12,0.12,[kernel.kallsyms],native_irq_return_iret
0.11,0.13,python,intern_string_constants
0.11,0.11,python,PyObject_IS_GC
0.1,0.21,ld-2.31.so,_dl_rtld_di_serinfo
0.1,0.1,python,PyUnicode_New.part.0
0.1,0.1,python,_PyIO_find_line_ending
0.1,0.1,python,PyObject_GC_UnTrack
0.09,0.82,python,_PyUnicode_InternInPlace
0.09,0.48,python,free_keys_object
0.09,0.39,python,_PyEvalFramePushAndInit
0.09,0.13,[kernel.kallsyms],copy_user_enhanced_fast_string
0.09,0.1,python,_Py_NewReference
0.09,0.09,[kernel.kallsyms],sync_regs
0.08,0.62,python,_PyCode_New
0.08,0.22,python,tupletraverse
0.08,0.09,python,tuple_alloc
0.08,0.08,python,_Py_GetBaseOpcode
0.08,0.08,python,PyType_IsSubtype
0.08,0.08,[kernel.kallsyms],smp_call_function_single
0.08,0.08,python,_Py_Dealloc
0.07,1.05,python,PyObject_GetAttr
0.07,0.38,python,subtype_dealloc
0.07,0.35,python,_PyObject_GenericGetAttrWithDict
0.07,0.17,python,sre_ucs1_match
0.07,0.13,python,PyLong_FromLong
0.07,0.12,python,_PyObject_Realloc
0.07,0.1,python,_PyTuple_FromArray
0.07,0.09,python,_PyPegen_is_memoized
0.07,0.07,libmagic.so.1.0.0,0x000000000000f936
0.07,0.07,[kernel.kallsyms],__d_lookup_rcu
0.07,0.07,python,long_dealloc
0.06,0.71,python,_PyEval_FrameClearAndPop
0.06,0.67,python,PyObject_GenericGetAttr
0.06,0.46,python,PyDict_SetDefault
0.06,0.45,python,PyObject_GetIter
0.06,0.27,python,func_traverse
0.06,0.15,python,PyTuple_New
0.06,0.14,[kernel.kallsyms],zap_pte_range.isra.0
0.06,0.1,python,vgetargs1_impl
0.06,0.07,python,ascii_decode
0.06,0.06,python,build_indices_unicode
0.06,0.06,python,_PyObject_GC_Link
0.06,0.06,python,_PyTrash_end
0.06,0.06,python,unicode_dealloc
0.06,0.06,[kernel.kallsyms],clear_page_erms
0.06,0.06,python,PyObject_Malloc
0.05,10.25,python,PyObject_Vectorcall
0.05,0.51,[kernel.kallsyms],__handle_mm_fault
0.05,0.18,python,_Py_type_getattro
0.05,0.16,python,subtype_traverse
0.05,0.15,python,PyType_GenericAlloc
0.05,0.12,python,PyFunction_NewWithQualName
0.05,0.1,python,PyObject_VisitManagedDict
0.05,0.08,python,set_traverse
0.05,0.05,[kernel.kallsyms],rmqueue
0.05,0.05,python,find_empty_slot
0.05,0.05,libc-2.31.so,malloc
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.04,7.37,python,_PyObject_MakeTpCall
0.04,0.27,python,_PyEval_Vector
0.04,0.24,python,_PyObject_GetMethod
0.04,0.24,python3.8,_PyEval_EvalFrameDefault
0.04,0.2,python,dict_dealloc
0.04,0.19,python,unicode_decode_utf8
0.04,0.14,python,list_iter
0.04,0.12,python,PyList_Append
0.04,0.09,python,frame_dealloc
0.04,0.09,python,type_traverse
0.04,0.09,python,list_traverse
0.04,0.08,python,_PyObject_Calloc
0.04,0.08,python,tok_get_normal_mode
0.04,0.04,python,_PyType_GetDict
0.04,0.04,python,set_lookkey
0.04,0.04,python,_PyTrash_begin
0.04,0.04,python,PyErr_Occurred
0.04,0.04,python,listiter_dealloc
0.04,0.04,python,PyUnicode_AsUCS4
0.04,0.04,[kernel.kallsyms],copy_pte_range.isra.0
0.04,0.04,python,convertitem.constprop.0
0.04,0.04,python,_PyFunction_Vectorcall
0.04,0.04,libpthread-2.31.so,__pthread_mutex_lock
0.04,0.04,python,tupleiter_dealloc
0.03,2.96,python,list_extend
0.03,1.32,python,type_new
0.03,0.27,python,method_vectorcall_VARARGS
0.03,0.21,python,_PyPegen_fill_token
0.03,0.18,python,_PyPegen_expect_token
0.03,0.16,python,_PyObject_GenericSetAttrWithDict
0.03,0.15,python,_PyObject_GC_NewVar
0.03,0.14,ld-2.31.so,_dl_catch_error
0.03,0.11,python,allocate_from_new_pool
0.03,0.11,python,tuple_iter
0.03,0.11,python,PyObject_RichCompareBool
0.03,0.1,python,_PyAssemble_MakeCodeObject
0.03,0.09,python,PyCMethod_New
0.03,0.09,python,_PyTuple_MaybeUntrack
