self,children,object,symbol
7.65,55.73,_pickle.cpython-313-x86_64-linux-gnu.so,load
7.54,8.32,python,_PyObject_Malloc
5.9,6.25,python,_PyObject_Free
5.51,5.51,python,siphash13
4.69,12.19,python,insertdict
4.57,19.91,_pickle.cpython-313-x86_64-linux-gnu.so,load_counted_binunicode
4.45,5.66,python,ascii_decode
4.15,4.21,python,unicodekeys_lookup_unicode
3.87,15.1,python,unicode_decode_utf8
3.63,80.91,python,_PyEval_EvalFrameDefault
2.75,2.78,libc-2.31.so,__nss_database_lookup
2.48,2.48,python,PyUnicode_New.part.0
2.4,2.4,_pickle.cpython-313-x86_64-linux-gnu.so,do_setitems.isra.0
2.2,5.48,python,_Py_dict_lookup
1.75,2.46,_pickle.cpython-313-x86_64-linux-gnu.so,_Unpickler_MemoPut
1.73,7.52,python,dict_ass_sub
1.33,6.45,python,free_keys_object
1.14,1.14,python,find_empty_slot
1.12,2.12,_pickle.cpython-313-x86_64-linux-gnu.so,Unpickler_clear
1.1,2.3,python,_PyObject_Realloc
1.1,1.1,python,PyObject_SetItem
1.02,1.02,python,unicode_dealloc
0.98,0.98,python,build_indices_unicode
0.89,2.51,python,gc_collect_main
0.75,0.75,python,PyObject_IS_GC
0.69,0.69,python,_Py_NewReference
0.67,1.24,_pickle.cpython-313-x86_64-linux-gnu.so,Pdata_push
0.61,0.82,libc-2.31.so,pthread_attr_setschedparam
0.58,6.02,python,list_dealloc
0.49,0.49,python,_Py_Dealloc
0.47,6.03,python,unicode_hash (inlined)
0.46,1.52,python,new_keys_object
0.46,0.87,python,PyLong_FromLong
0.46,0.48,python,visit_decref
0.43,0.43,python,PyObject_Malloc
0.41,2.95,python,dictresize
0.37,0.83,python,_PyType_Lookup
0.35,0.35,python,visit_reachable
0.35,0.35,libc-2.31.so,malloc
0.3,1.06,python,tupledealloc
0.3,0.3,python,PyObject_Hash
0.29,0.29,python,PyObject_Free
0.28,0.36,python,list_ass_slice
0.27,1.7,python,r_object
0.27,0.91,_pickle.cpython-313-x86_64-linux-gnu.so,_Unpickler_New
0.26,0.63,python,PyList_New
0.25,0.25,python,memcpy@plt
0.23,5.71,python,_Py_HashBytes
0.22,0.71,python,update_one_slot
0.22,0.22,python,PyObject_GC_UnTrack
0.21,1.16,python,_PyObject_GenericGetAttrWithDict
0.21,0.53,python,_PyFrame_ClearExceptCode
0.21,0.21,python,PyUnicode_DecodeUTF8
0.21,0.21,python,long_dealloc
0.2,0.92,python,find_name_in_mro
0.2,0.27,python,_PyObject_Calloc
0.19,6.47,python,dict_dealloc
0.19,0.19,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000005df4
0.19,0.19,_pickle.cpython-313-x86_64-linux-gnu.so,do_append.isra.0
0.18,0.74,python,PyDict_GetItemRef
0.18,0.6,python,_PyObject_GC_New
0.17,0.48,python,insert_to_emptydict
0.16,0.21,python,allocate_from_new_pool
0.15,0.21,python,_PyCode_Quicken
0.15,0.15,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000005894
0.14,58.72,_pickle.cpython-313-x86_64-linux-gnu.so,_pickle_loads
0.14,0.65,python,_PyDict_GetItem_KnownHash
0.14,0.2,python,initialize_locals
0.14,0.14,python,pysiphash
0.14,0.14,python,_PyTrash_end
0.14,0.14,python,PyObject_GC_Del
0.13,0.26,python,split
0.13,0.13,python,_PyTrash_begin
0.12,0.28,python,_Py_hashtable_get_entry_generic
0.12,0.12,python,_PyUnicode_FromUCS1.part.0
0.12,0.12,_pickle.cpython-313-x86_64-linux-gnu.so,marker.isra.0
0.11,0.29,python,dict_traverse
0.11,0.2,python,PyTuple_New
0.1,10.23,python,PyImport_ImportModuleLevelObject
0.1,0.22,python,code_dealloc
0.1,0.11,python,do_mkvalue
0.1,0.1,[kernel.kallsyms],native_irq_return_iret
0.09,0.28,python,_PyObject_GetMethod
0.09,0.26,python,type_ready
0.09,0.09,libc-2.31.so,free
0.09,0.09,python,PyMem_Calloc
0.09,0.09,python,intern_string_constants
0.09,0.09,python,PyBuffer_Release
0.08,0.08,python,_PyIO_find_line_ending
0.08,0.08,python,_PyUnicode_FromUCS4.part.0
0.07,0.65,python,_PyUnicode_InternInPlace
0.07,0.4,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.07,0.18,python,tupletraverse
0.07,0.16,ld-2.31.so,_dl_rtld_di_serinfo
0.07,0.11,python,_PyObject_GetInstanceAttribute
0.07,0.09,[kernel.kallsyms],copy_user_enhanced_fast_string
0.07,0.08,python,tuple_alloc
0.07,0.07,python,_PyType_GetDict
0.06,1.87,python,PyImport_Import
0.06,0.59,python,_PyEval_FrameClearAndPop
0.06,0.55,python,PyObject_GenericGetAttr
0.06,0.53,python,PyObject_GetItem
0.06,0.31,python,_PyEvalFramePushAndInit
0.06,0.13,python,sre_ucs1_match
0.06,0.1,python,_PyLong_FromByteArray
0.06,0.06,python,_PyObject_GC_Link
0.06,0.06,python,PyMem_Realloc
0.06,0.06,libmagic.so.1.0.0,0x000000000000f936
0.06,0.06,python,_Py_GetBaseOpcode
0.06,0.06,python,PyObject_GC_Track
0.05,12.0,python,object_vacall
0.05,7.86,python,PyObject_Vectorcall
0.05,2.08,python,_PyObject_CallFunctionVa
0.05,1.07,python,PyObject_GetAttr
0.05,0.35,python,PyDict_SetDefault
0.05,0.21,python,func_traverse
0.05,0.17,python,_PyLong_New
