self,children,object,symbol
15.18,52.17,_pickle.cpython-313-x86_64-linux-gnu.so,load
6.72,13.96,python,list_dealloc
5.88,11.87,python,PyList_New
5.82,5.95,python,_PyObject_Free
5.59,8.97,python,list_ass_slice
4.95,79.3,python,_PyEval_EvalFrameDefault
4.58,5.1,python,_PyObject_Malloc
4.21,4.21,_pickle.cpython-313-x86_64-linux-gnu.so,do_append.isra.0
4.04,4.95,_pickle.cpython-313-x86_64-linux-gnu.so,Pdata_push
3.39,3.43,python,PyLong_FromLong
2.22,3.02,python,_PyObject_Calloc
1.96,1.96,python,PyMem_Calloc
1.67,1.73,libc-2.31.so,__nss_database_lookup
1.64,1.64,python,_Py_NewReference
1.25,3.48,python,gc_collect_main
1.16,1.2,python,unicodekeys_lookup_unicode
1.15,1.7,python,_PyObject_Realloc
1.07,1.07,python,_PyTrash_end
1.04,1.04,python,_Py_Dealloc
1.04,1.04,_pickle.cpython-313-x86_64-linux-gnu.so,marker.isra.0
1.02,1.03,python,PyObject_GC_UnTrack
0.94,0.94,python,_PyTrash_begin
0.71,0.71,_pickle.cpython-313-x86_64-linux-gnu.so,_Unpickler_MemoPut
0.61,0.61,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000005be4
0.49,1.5,python,_Py_dict_lookup
0.46,0.48,python,visit_decref
0.44,0.49,python,PySequence_Fast
0.4,0.95,_pickle.cpython-313-x86_64-linux-gnu.so,Unpickler_clear
0.38,0.38,python,_PyTrash_cond
0.37,0.38,python,visit_reachable
0.35,2.3,python,r_object
0.35,0.55,python,_PyType_Lookup
0.34,0.78,python,_PyFrame_ClearExceptCode
0.32,0.53,python,tupledealloc
0.3,0.3,_pickle.cpython-313-x86_64-linux-gnu.so,0x00000000000058a4
0.28,1.01,python,update_one_slot
0.28,0.28,python,PyMem_Free
0.28,0.28,python,PyMem_Realloc
0.25,0.37,libc-2.31.so,pthread_attr_setschedparam
0.25,0.25,python,PyThreadState_GetUnchecked
0.24,0.85,_pickle.cpython-313-x86_64-linux-gnu.so,_Unpickler_New
0.23,0.23,python,siphash13
0.22,0.94,python,find_name_in_mro
0.21,0.44,python,_Py_hashtable_get_entry_generic
0.21,0.27,python,_PyCode_Quicken
0.18,0.66,python,_PyObject_GC_New
0.17,0.25,python,initialize_locals
0.16,0.17,python,visit_decref
0.16,0.16,python,_PyUnicode_FromUCS1.part.0
0.15,0.5,python,insertdict
0.15,0.15,_pickle.cpython-313-x86_64-linux-gnu.so,0x00000000000059c4
0.14,0.71,python,_PyDict_GetItem_KnownHash
0.14,0.4,python,dict_traverse
0.13,0.53,python,free_keys_object
0.13,0.34,python,code_dealloc
0.13,0.14,python,intern_string_constants
0.13,0.13,python,memset@plt
0.12,0.33,python,PyDict_GetItemRef
0.12,0.12,python,_PyIO_find_line_ending
0.12,0.12,[kernel.kallsyms],native_irq_return_iret
0.11,0.36,python,type_ready
0.11,0.21,ld-2.31.so,_dl_rtld_di_serinfo
0.11,0.15,[kernel.kallsyms],copy_user_enhanced_fast_string
0.11,0.12,python,visit_reachable
0.11,0.11,python,memmove@plt
0.11,0.11,python,PyUnicode_New.part.0
0.11,0.11,python,PyList_SetSlice
0.11,0.11,python,PyObject_GC_Del
0.1,0.57,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.1,0.18,python,sre_ucs1_match
0.1,0.11,python,PyObject_IS_GC
0.09,0.22,python,tupletraverse
0.09,0.09,python,_PyUnicode_FromUCS4.part.0
0.08,0.33,python,_PyObject_GenericGetAttrWithDict
0.08,0.09,python,tuple_alloc
0.08,0.08,python,PyType_IsSubtype
0.08,0.08,[kernel.kallsyms],smp_call_function_single
0.07,0.89,python,_PyUnicode_InternInPlace
0.07,0.84,python,_PyEval_FrameClearAndPop
0.07,0.74,python,PyObject_GenericGetAttr
0.07,0.55,python,_PyCode_New
0.07,0.38,python,_PyEvalFramePushAndInit
0.07,0.16,[kernel.kallsyms],zap_pte_range.isra.0
0.07,0.13,python,PyObject_VisitManagedDict
0.07,0.07,libmagic.so.1.0.0,0x000000000000f936
0.07,0.07,[kernel.kallsyms],sync_regs
0.07,0.07,python,_PyObject_GC_Link
0.07,0.07,python,_Py_GetBaseOpcode
0.06,52.04,_pickle.cpython-313-x86_64-linux-gnu.so,_pickle_loads
0.06,0.5,[kernel.kallsyms],__handle_mm_fault
0.06,0.45,python,PyDict_SetDefault
0.06,0.33,python,subtype_dealloc
0.06,0.29,python,_PyObject_GetMethod
0.06,0.15,python,PyFunction_NewWithQualName
0.06,0.11,python,_PyTuple_FromArray
0.06,0.11,python,_PyTuple_FromArraySteal
0.06,0.09,python,set_traverse
0.06,0.07,python,ascii_decode
0.06,0.06,[kernel.kallsyms],__d_lookup_rcu
0.06,0.06,python,PyObject_GC_Track
0.06,0.06,_pickle.cpython-313-x86_64-linux-gnu.so,0x0000000000005990
0.06,0.06,libmagic.so.1.0.0,0x000000000000f932
0.06,0.06,python,_PyType_GetDict
0.06,0.06,[kernel.kallsyms],rmqueue
0.05,10.84,python,PyObject_Vectorcall
0.05,1.11,python,PyObject_GetAttr
0.05,0.24,python,dict_dealloc
0.05,0.24,python,_PyMem_Strdup
0.05,0.2,python,subtype_traverse
0.05,0.17,python,_Py_type_getattro
0.05,0.17,python,PyType_GenericAlloc
