"Bytecode","% time","count","% count","time per count (μs)"
"LOAD_FAST","9.39%","37493180620","17.73%","10.371034"
"LOAD_GLOBAL_BUILTIN","4.88%","5783991967","2.74%","34.913583"
"STORE_FAST","4.19%","13496553043","6.38%","12.855703"
"LOAD_FAST_LOAD_FAST","3.86%","11054418342","5.23%","14.456627"
"CALL_PY_EXACT_ARGS","3.74%","3213705626","1.52%","48.208125"
"LOAD_ATTR_INSTANCE_VALUE","3.41%","4851620533","2.29%","29.071453"
"LOAD_GLOBAL_MODULE","3.39%","3350520281","1.58%","41.905893"
"FOR_ITER_LIST","3.32%","2200274562","1.04%","62.401681"
"BINARY_OP_SUBSCR_LIST_INT","3.05%","2720924671","1.29%","46.348191"
"POP_JUMP_IF_FALSE","2.87%","10735766794","5.08%","11.074167"
"RETURN_VALUE","2.65%","5430779737","2.57%","20.206159"
"BINARY_OP","2.17%","3171392127","1.50%","28.316531"
"COMPARE_OP_INT","2.03%","2755875626","1.30%","30.488126"
"LOAD_CONST_IMMORTAL","1.87%","6512647765","3.08%","11.890775"
"LOAD_ATTR_METHOD_WITH_VALUES","1.78%","2486099447","1.18%","29.688587"
"LOAD_ATTR_MODULE","1.68%","571733171","0.27%","121.511589"
"LOAD_ATTR","1.67%","851027633","0.40%","81.331111"
"BINARY_OP_ADD_INT","1.41%","3494525757","1.65%","16.668802"
"CALL_BUILTIN_FAST","1.31%","1116331779","0.53%","48.708798"
"JUMP_BACKWARD_NO_JIT","1.24%","5762617863","2.73%","8.911320"
"LOAD_SMALL_INT","1.20%","7317692436","3.46%","6.808991"
"LOAD_ATTR_METHOD_NO_DICT","1.17%","2564421027","1.21%","18.897437"
"CALL_NON_PY_GENERAL","1.17%","815230833","0.39%","59.347421"
"CALL_LEN","1.06%","1404589707","0.66%","31.311654"
"POP_TOP","1.05%","3180111835","1.50%","13.613376"
"LOAD_ATTR_SLOT","1.04%","1639410122","0.78%","26.165546"
"CONTAINS_OP_SET","1.00%","1756318342","0.83%","23.527043"
"CALL_METHOD_DESCRIPTOR_FAST","0.96%","365869981","0.17%","108.329815"
"BINARY_OP_SUBSCR_STR_INT","0.89%","1260966304","0.60%","29.228176"
"CALL_ISINSTANCE","0.86%","842378116","0.40%","42.435451"
"TO_BOOL_BOOL","0.84%","3874535270","1.83%","8.931761"
"RESUME_CHECK","0.83%","6315823875","2.99%","5.410281"
"STORE_ATTR_INSTANCE_VALUE","0.82%","984474209","0.47%","34.602576"
"CALL_BUILTIN_O","0.82%","918383243","0.43%","36.928925"
"LOAD_CONST_MORTAL","0.74%","1700211160","0.80%","18.121118"
"COMPARE_OP_STR","0.71%","1587315487","0.75%","18.620497"
"FOR_ITER","0.71%","1472625599","0.70%","20.067114"
"CALL_LIST_APPEND","0.71%","1276739694","0.60%","23.070359"
"UNPACK_SEQUENCE_TWO_TUPLE","0.68%","781529780","0.37%","35.872850"
"POP_JUMP_IF_TRUE","0.68%","2097873454","0.99%","13.359386"
"BINARY_OP_SUBTRACT_INT","0.64%","1662973584","0.79%","15.973604"
"BINARY_OP_SUBSCR_DICT","0.64%","1079535297","0.51%","24.469309"
"COPY","0.56%","2245443931","1.06%","10.315414"
"LOAD_DEREF","0.54%","1380832057","0.65%","16.306708"
"RETURN_GENERATOR","0.53%","416803876","0.20%","53.106073"
